feature,period_year,n,mean,median,sd,p25,p75
raw_sig_vocab_density,2024,22820,0.32227862334589186,0.2170256639235546,0.4291862842182686,0.0,0.49358341559723595
raw_sig_vocab_density,2026,45317,0.41295423989258345,0.3450655624568668,0.39885703430151126,0.0,0.6090133982947625
raw_em_dash_density,2024,22820,0.03168868693603201,0.0,0.14176297153981013,0.0,0.0
raw_em_dash_density,2026,45317,0.13117852063699384,0.0,0.3331169407853147,0.0,0.1424298532972511
raw_bullet_density,2024,22820,0.14431350679531801,0.0,1.0840081256427172,0.0,0.0
raw_bullet_density,2026,45317,4.779843120332038,4.325807132306394,2.8874262180220858,2.9416854127011596,6.275697900887254
avg_sentence_length,2024,22820,31.672595222534742,24.875,27.002855398416795,18.77777777777778,34.04659090909091
avg_sentence_length,2026,45317,30.267728963942844,24.08695652173913,22.800932008183192,19.45945945945946,33.04761904761905
sentence_length_sd,2024,22820,27.350301480424267,19.143206292028985,24.72927769077841,11.234012585372506,35.99735083685357
sentence_length_sd,2026,45317,28.65194695777586,17.708197167232473,27.253950537593344,10.707007051459339,38.255718526777144
type_token_ratio,2024,22820,0.6901157568611098,0.6883116883116883,0.05909166626611925,0.6551724137931034,0.7243589743589743
type_token_ratio,2026,45317,0.7042567663249636,0.704,0.05620696308230794,0.668918918918919,0.7386363636363636
authorship_score,2024,22820,-0.028411875137522122,-0.06686985241657438,0.37209042731340475,-0.25494547873907136,0.14157621837213663
authorship_score,2026,45317,0.014307191355082571,-0.02305381503864068,0.4050294620320411,-0.23783097248629703,0.21631267850004895
