definition,family,source,n_denom,n_hit,share
S1,label,kaggle_arshkon,4691,2031,0.4329567256448518
S1,label,kaggle_asaniczka,18129,11634,0.6417342379612775
S4,yoe_llm,kaggle_arshkon,3454,2246,0.6502605674580196
S4,yoe_llm,kaggle_asaniczka,14765,10648,0.7211649170335253
S2,label,kaggle_arshkon,4691,17,0.0036239607759539546
S2,label,kaggle_asaniczka,18129,74,0.004081857796899994
S5,yoe_llm,kaggle_arshkon,3454,813,0.23537927041111756
S5,yoe_llm,kaggle_asaniczka,14765,4062,0.2751100575685743
S4_rule,yoe_rule,kaggle_arshkon,2911,1751,0.6015115080728272
S4_rule,yoe_rule,kaggle_asaniczka,12834,8528,0.6644849618201651
