uid,cluster_id,cluster_name,period,seniority_final,company_name_canonical,company_industry,title,yoe_min_years_llm,orch_density,mgmt_density_v1_rebuilt,ai_binary,strat_density,desc_excerpt_400
linkedin_li-4391908061,1,Tech-orchestration (non-AI),2026,mid-senior,Intelliswift - An LTTS Company,"Motor Vehicle Manufacturing, Motor Vehicle Parts Manufacturing, and Retail Motor Vehicles",Senior AWS Engineer,,17.543859649122805,0.0,0,0.0,"Must have skills: | * AWS Glue (PySpark) for ETL/ELT pipelines * AWS Lambda (serverless development) * Amazon Redshift (SQL, performance tuning, data warehousing) * Workflow orchestration (Apache Airflow or similar) * Strong SQL \& data engineering experience"
linkedin_li-4390738314,1,Tech-orchestration (non-AI),2026,mid-senior,SSV Technologies Inc,Software Development,Senior Data Engineer,,15.444015444015443,0.0,0,0.0,"**Role: Sr. Data Engineer** **Duration: 12\+ Months only w2** **What you''ll do:** | * Design and build scalable data pipelines and models using Databricks, PySpark, and SQL. * Integrate and transform data from multiple sources with strong quality, observability, and governance. * Orchestrate and automate workflows using Airflow and CI/CD pipelines in GitHub Actions. * Develop and maintain infrast"
linkedin_li-4400563542,1,Tech-orchestration (non-AI),2026,mid-senior,Apex Systems,IT Services and IT Consulting,Senior Site Reliability Engineer (SRE),,13.856812933025404,0.0,0,0.0,"Senior Site Reliability Engineer (SRE) **Contract Duration:** | 12 Months Role Overview We are seeking a Senior Site Reliability Engineer to provide support for enterprise security, workflow orchestration, platform automation, CI/CD pipelines, and cloud platforms. This role involves collaboration with SRE resources, Product Managers, and Engineering leads to design, build, and support enterprise s"
linkedin_li-4391857988,1,Tech-orchestration (non-AI),2026,mid-senior,aKUBE,"Information Technology & Services, Housing and Community Development, and Real Estate",Senior Databricks Application Engineer,,13.605442176870747,0.0,0,0.0,"Onsite/ Hybrid/ Remote: Remote     Duration: 6 months contract to start     Work Authorization: GC, USC Only     Rate Range: Up to $92 in C2C or $86 in w2 depending on experience        **Must Have:**    Expert in Databricks Workflows and Jobs     Python     PySpark     Azure     API integration     ETL pipelines     CI/CD and DevOps        **Nice to Have:**    Databricks Genie     Databricks Apps"
linkedin_li-4386102531,1,Tech-orchestration (non-AI),2026,mid-senior,TWO95 International,Internet Publishing,Senior Java Developer REMOTE WORK,8,12.422360248447205,0.0,0,0.0,"Title: Senior Java Developer Contract: 6\+ * Sr Java Developer / Lead with 8 \+ years of experience on Java / JEE Stack who has worked in Agile environment * Experienced with Spring Framework – Spring Boot, Spring cloud, Spring Data etc * Comfortable with CI/ CD – Jenkins/ Bamboo, Maven/Gradle, Automated pipelines, Sonar, Veracode, Test Driven Pipelines etc * Experienced in REST and SOAP service *"
linkedin_li-4398749747,1,Tech-orchestration (non-AI),2026,mid-senior,Jobs via Dice,Software Development,Site Reliability Engineer III,5,12.244897959183673,0.0,0,0.0,"**Employment Type: Contract** **Duration: 12 months** Role Overview We are seeking a senior Site Reliability Engineer to provide support for enterprise security, workflow orchestration, platform automation, CI/CD pipelines, and cloud platforms. The role involves collaboration with SRE resources, Product Managers, and Engineering leads to design, build, and support enterprise solutions. Key Respons"
linkedin_li-4396763497,1,Tech-orchestration (non-AI),2026,mid-senior,MetroStar,"Technology, Information and Internet",Sr. Data Engineer I (6290),4,10.922330097087379,0.0,0,0.0,"As a | **Sr. Data Engineer I** , you’ll work with team members to build, deploy, and operate data pipelines and data engineering components to enable data brokering and exchange capabilities across a diverse range of producers and consumers. In this role, you will be responsible for building robust, scalable data pipelines while working collaboratively with cross-functional teams to ensure seamles"
linkedin_li-4389834380,1,Tech-orchestration (non-AI),2026,mid-senior,Innoventrics,Business Consulting and Services,Senior Big Data Developer,,10.869565217391303,0.0,0,0.0,"**Must Haves** * Over 10 years of IT Engineering experience * 8\+ years of Big Data development using PySpark, Python, and Scala * Strong Batch Processing experience * Hands on experience building, deploying, and securing cloud platforms with GCP * Experience processing extremely large volume of data in an enterprise environment * 5\+ experience in building data processing, pipelines development, "
linkedin_li-4396301324,1,Tech-orchestration (non-AI),2026,mid-senior,Ampstek,IT Services and IT Consulting,Need USC/GC Only :: Senior Software Engineer / DevOps Engineer,,10.830324909747292,0.0,0,0.0,"Job Title : Senior Software Engineer / DevOps Engineer         Location : BocaRaton, FL         Duration: Contract         Job Description ::     We are looking pure development profiles with primary skills as React, .Net FullStack, DevOps Pipeline, Azure, Web API     Technical Skills     • Azure DevOps, CI/CD pipelines, YAML pipelines, release automation     • Azure CLI, PowerShell, Infrastructur"
linkedin_li-4359668380,1,Tech-orchestration (non-AI),2026,mid-senior,"Daley And Associates, LLC.",Staffing and Recruiting,"Senior Salesforce Developer-West Palm, FL (onsite to start)",,10.75268817204301,0.0,0,0.0,"**Apex, LWC, Flows, and SOQL** , owning data models and automation, and integrating Salesforce with internal and external systems via APIs. A big part of the role is ensuring * Design scalable data models, workflows, and automation * Build and maintain integrations with other systems and platforms * Own platform performance, data quality, and reliability * Strong experience with Apex, LWC, SOQL, F"
linkedin_li-4401417120,1,Tech-orchestration (non-AI),2026,mid-senior,ExaCare AI,Software Development,Senior Machine Learning Engineer,,10.619469026548673,0.0,0,0.0,"**About The Role** We are looking for a | ****Senior Machine Learning Engineer, MLOps**** to help operationalize and scale our machine learning systems. This is an ****engineering-focused role**** centered on building the workflows, infrastructure, and processes that enable ML to move from research into reliable production systems. You will partner closely with research-oriented ML teammates and h"
linkedin_li-4380033701,1,Tech-orchestration (non-AI),2026,mid-senior,Stott and May,Staffing and Recruiting,Senior Data Engineer,,10.152284263959391,0.0,0,0.0,"Data Engineer Contract Opportunity (Manufacturing \| North America)         We're supporting a leading North American manufacturing company on a data engineering engagement focused on strengthening the orchestration and reliability of their modern data platform.         The environment includes Snowflake and dbt, but this role is focused on the platform layer that sits underneath the pipelines.   "
