t16_cluster,t34_cluster_id,t34_cluster_name,n_t16_cluster_senior_2026,n_in_t34_cluster,share
ai_forward_scope_inflator,0,AI-oriented (low-orch),542,163,0.3007380073800738
ai_forward_scope_inflator,1,Tech-orchestration (non-AI),542,91,0.16789667896678967
entry_expander_1,0,AI-oriented (low-orch),338,56,0.16568047337278108
entry_expander_1,1,Tech-orchestration (non-AI),338,91,0.2692307692307692
entry_expander_2,0,AI-oriented (low-orch),1220,99,0.08114754098360656
entry_expander_2,1,Tech-orchestration (non-AI),1220,219,0.17950819672131146
mixed_change,0,AI-oriented (low-orch),881,76,0.08626560726447219
mixed_change,1,Tech-orchestration (non-AI),881,93,0.10556186152099886
mixed_change_1,0,AI-oriented (low-orch),986,88,0.08924949290060852
mixed_change_1,1,Tech-orchestration (non-AI),986,177,0.1795131845841785
mixed_change_2,0,AI-oriented (low-orch),452,61,0.13495575221238937
mixed_change_2,1,Tech-orchestration (non-AI),452,99,0.21902654867256638
scope_inflator,0,AI-oriented (low-orch),3464,314,0.09064665127020785
scope_inflator,1,Tech-orchestration (non-AI),3464,739,0.21333718244803695
senior_tilt,0,AI-oriented (low-orch),2100,228,0.10857142857142857
senior_tilt,1,Tech-orchestration (non-AI),2100,422,0.20095238095238097
traditional_hold,0,AI-oriented (low-orch),3044,254,0.08344283837056504
traditional_hold,1,Tech-orchestration (non-AI),3044,797,0.26182654402102495
traditional_hold_1,0,AI-oriented (low-orch),2785,221,0.07935368043087972
traditional_hold_1,1,Tech-orchestration (non-AI),2785,686,0.24631956912028724
traditional_hold_2,0,AI-oriented (low-orch),1574,143,0.09085133418043202
traditional_hold_2,1,Tech-orchestration (non-AI),1574,449,0.2852604828462516
