comm_2026_id,comm_name,comm_classification,share__android/kotlin/jetpack,share__angular/java/backend,share__azure/pipelines/solutions,share__azure/sql/solutions,share__backend/javascript/typescript,share__backend/systems/apis,share__backend/systems/services,share__clearance/software/required,share__customer/customers/application,share__degree_practical/degree_phd/phd_related,share__failure/procedures/ability,share__features/backend/rails,share__firmware/software/ethernet,share__intern/internship/pursuing,share__ios/swiftui/features,share__java/boot/microservices,share__kubernetes/terraform/cicd,share__linux/routing/systems,share__models/systems/llm,share__noninternship/software/including_standards,share__perception/models/driving,share__pipelines/sql/etl,share__qa/selenium/manual,share__qualifications/th/display,share__scrum/software/sprint,share__software/linux/systems,share__software/requirements/degree,share__software/solutions/technology,share__software/sql/aspnet,share__software/systems/linux,share__software/systems/requirements,share__sql/aspnet/mvc,share__systems/agent/workflows,share__systems/clearance/requirements,share__technologies/millions_americans/tech_trends,share__unassigned,share__us/software/export
0,js_frontend_stack,stable_partial,0.4092,0.9757,0.252,0.8,0.9563,0.5482,0.63,0.5056,0.0501,0.3333,0.0255,0.5992,0.076,0.3968,0.3555,0.9168,0.3244,0.1192,0.2403,0.3034,0.0,0.1733,0.7681,0.3416,0.9142,0.0857,0.2401,0.6374,0.4414,0.0941,0.5012,0.9,0.4671,0.2267,0.7191,0.4628,0.1718
1,devops_platform_stack,stable_partial,0.1518,0.4792,0.8864,0.87,0.3998,0.5466,0.8319,0.4444,0.0334,0.3333,0.0278,0.3139,0.1988,0.3439,0.1801,0.6236,0.9721,0.447,0.5487,0.2388,0.1387,0.6408,0.5181,0.2228,0.5187,0.2964,0.1651,0.6512,0.0991,0.1782,0.5855,0.3846,0.7643,0.2095,0.7978,0.5615,0.3067
2,llm_vendor_stack,stable_partial,0.0099,0.0312,0.1035,0.086,0.0768,0.1704,0.1395,0.0111,0.0139,0.0417,0.0093,0.1412,0.0,0.1058,0.0142,0.0346,0.0467,0.0132,0.5461,0.0534,0.0347,0.0514,0.0151,0.0594,0.0224,0.0036,0.0136,0.0427,0.009,0.0099,0.062,0.0308,0.4276,0.0076,0.0899,0.1174,0.0123
3,php_laravel_stack,fragmented,0.0099,0.1354,0.126,0.19,0.162,0.381,0.4672,0.1111,0.0028,0.0208,0.0,0.156,0.0058,0.1058,0.0284,0.3521,0.1249,0.0265,0.0669,0.0562,0.0,0.1661,0.0331,0.0842,0.0896,0.0036,0.0109,0.1819,0.018,0.0099,0.1331,0.0846,0.2818,0.021,0.1685,0.1513,0.0429
4,data_engineering_stack,fragmented,0.0198,0.2153,0.4196,0.626,0.0864,0.09,0.2304,0.0889,0.0334,0.1458,0.0371,0.0494,0.0292,0.1799,0.0095,0.146,0.0995,0.0166,0.1617,0.1152,0.0058,0.6949,0.1416,0.1188,0.2985,0.0071,0.1323,0.1744,0.7387,0.0248,0.247,0.9231,0.2873,0.0324,0.4157,0.2152,0.0184
5,python_ml_stack,stable_partial,0.0066,0.0,0.036,0.0,0.0053,0.0113,0.0222,0.0278,0.0,0.0208,0.0046,0.0138,0.0,0.0899,0.0047,0.0051,0.0206,0.0099,0.2773,0.0056,0.2486,0.0487,0.006,0.1386,0.0037,0.025,0.0041,0.0188,0.0,0.0347,0.0223,0.0,0.0965,0.0095,0.0449,0.0474,0.0061
6,mobile_stack,stable,0.2607,0.0208,0.0304,0.056,0.0629,0.0788,0.1924,0.1889,0.0418,0.2083,0.0418,0.0721,0.5556,0.1058,0.4408,0.0256,0.0734,0.4834,0.1058,0.1685,0.2197,0.0334,0.0301,0.2921,0.0821,0.5643,0.2074,0.1794,0.1261,0.4653,0.1488,0.0231,0.1009,0.2305,0.1236,0.1211,0.6012
7,llm_vendor_stack,weakly_mapped,0.033,0.0174,0.0157,0.04,0.049,0.0225,0.0275,0.0,0.0111,0.0,0.007,0.075,0.0175,0.0423,0.0284,0.0243,0.0164,0.0132,0.0409,0.0056,0.0,0.0181,0.0181,0.0347,0.0112,0.0214,0.0055,0.0226,0.009,0.0099,0.0193,0.0154,0.1107,0.0076,0.0,0.0268,0.0123
8,ci_cd_stack,new,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0073,0.0,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.0,0.0,0.0038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009,0.0
9,ruby_rails_stack,fragmented,0.0,0.0139,0.0011,0.0,0.0149,0.0209,0.0074,0.0,0.0,0.0,0.0,0.0839,0.0117,0.0159,0.0,0.0026,0.0024,0.0,0.0032,0.0028,0.0,0.0045,0.0,0.0,0.0112,0.0036,0.0014,0.01,0.0,0.0,0.0078,0.0,0.011,0.0,0.0112,0.0075,0.0
