comm_2026_id,comm_name,comm_classification,comm_size,overall_share_postings,share__ai_ml,share__backend,share__clearance_defense,share__cloud_devops,share__customer_apps,share__data_eng,share__dotnet_legacy,share__embedded_firmware,share__generic_swe,share__intern_early,share__mobile,share__other,share__process_scrum,share__qa_test,share__research_academic,share__unknown
0,js_frontend_stack,stable_partial,25,0.4535,0.3032,0.7493,0.2342,0.3815,0.0501,0.1733,0.6888,0.0858,0.4752,0.3358,0.3872,0.1994,0.9142,0.7681,0.3333,0.4628
1,devops_platform_stack,stable_partial,24,0.5486,0.5966,0.5329,0.3205,0.9302,0.0334,0.6408,0.2531,0.2343,0.5053,0.2752,0.1634,0.1773,0.5187,0.5181,0.3333,0.5615
2,llm_vendor_stack,stable_partial,17,0.1165,0.4712,0.1066,0.0103,0.0698,0.0139,0.0514,0.0207,0.0046,0.0461,0.0716,0.0117,0.0332,0.0224,0.0151,0.0417,0.1174
3,php_laravel_stack,fragmented,15,0.1478,0.1371,0.284,0.0393,0.1359,0.0028,0.1661,0.0539,0.0061,0.1172,0.0734,0.0175,0.0443,0.0896,0.0331,0.0208,0.1513
4,data_engineering_stack,fragmented,13,0.2078,0.195,0.1266,0.035,0.2798,0.0334,0.6949,0.8382,0.0184,0.2025,0.1376,0.0156,0.1066,0.2985,0.1416,0.1458,0.2152
5,python_ml_stack,stable_partial,9,0.046,0.2126,0.0111,0.012,0.0217,0.0,0.0487,0.0,0.0214,0.0172,0.0349,0.0058,0.0471,0.0037,0.006,0.0208,0.0474
6,mobile_stack,stable,7,0.1283,0.1116,0.0848,0.341,0.0579,0.0418,0.0334,0.0705,0.5314,0.1699,0.1468,0.3346,0.1219,0.0821,0.0301,0.2083,0.1211
7,llm_vendor_stack,weakly_mapped,5,0.0279,0.0625,0.0405,0.0085,0.0201,0.0111,0.0181,0.0124,0.0168,0.0169,0.0183,0.0311,0.0139,0.0112,0.0181,0.0,0.0268
8,ci_cd_stack,new,2,0.0009,0.0,0.0,0.0009,0.0039,0.0,0.0009,0.0,0.0,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0009
9,ruby_rails_stack,fragmented,2,0.0086,0.0057,0.0272,0.0,0.0016,0.0,0.0045,0.0,0.0046,0.0069,0.0073,0.0,0.0014,0.0112,0.0,0.0,0.0075
