period,community_id,community_size,tech
2026,0,25,agile
2026,0,25,angular
2026,0,25,bdd
2026,0,25,cypress
2026,0,25,express
2026,0,25,graphql
2026,0,25,java
2026,0,25,javascript
2026,0,25,jest
2026,0,25,jquery
2026,0,25,junit
2026,0,25,microservices
2026,0,25,mocha
2026,0,25,nextjs
2026,0,25,nodejs
2026,0,25,playwright
2026,0,25,react
2026,0,25,rest_api
2026,0,25,scrum
2026,0,25,selenium
2026,0,25,spring
2026,0,25,svelte
2026,0,25,tdd
2026,0,25,typescript
2026,0,25,vue
2026,1,24,ansible
2026,1,24,argocd
2026,1,24,aws
2026,1,24,azure
2026,1,24,bash
2026,1,24,chef
2026,1,24,ci_cd
2026,1,24,datadog
2026,1,24,docker
2026,1,24,elasticsearch
2026,1,24,gcp
2026,1,24,github_actions
2026,1,24,gitlab_ci
2026,1,24,grafana
2026,1,24,helm
2026,1,24,jenkins
2026,1,24,kubernetes
2026,1,24,new_relic
2026,1,24,pagerduty
2026,1,24,prometheus
2026,1,24,puppet
2026,1,24,python
2026,1,24,splunk
2026,1,24,terraform
2026,2,17,ai_agent
2026,2,17,anthropic
2026,2,17,chroma
2026,2,17,claude_api
2026,2,17,fine_tuning
2026,2,17,gemini
2026,2,17,gpt_model
2026,2,17,hugging_face
2026,2,17,langchain
2026,2,17,llamaindex
2026,2,17,llm
2026,2,17,mcp
2026,2,17,pinecone
2026,2,17,prompt_engineering
2026,2,17,rag
2026,2,17,vector_database
2026,2,17,weaviate
2026,3,15,cassandra
2026,3,15,django
2026,3,15,dynamodb
2026,3,15,event_driven
2026,3,15,fastapi
2026,3,15,flask
2026,3,15,flink
2026,3,15,kafka
2026,3,15,laravel
2026,3,15,mongodb
2026,3,15,mysql
2026,3,15,php
2026,3,15,postgresql
2026,3,15,redis
2026,3,15,serverless
2026,4,13,airflow
2026,4,13,beam
2026,4,13,bigquery
2026,4,13,c_sharp
2026,4,13,databricks
2026,4,13,dbt
2026,4,13,dot_net
2026,4,13,hadoop
2026,4,13,scala
2026,4,13,snowflake
2026,4,13,spark
2026,4,13,sql
2026,4,13,sql_server
2026,5,9,jupyter
2026,5,9,keras
2026,5,9,mlflow
2026,5,9,numpy
2026,5,9,pandas
2026,5,9,pytorch
2026,5,9,scikit_learn
2026,5,9,tensorflow
2026,5,9,xgboost
2026,6,7,c_lang
2026,6,7,c_plus_plus
2026,6,7,go_lang
2026,6,7,kotlin
2026,6,7,objective_c
2026,6,7,rust
2026,6,7,swift
2026,7,5,chatgpt
2026,7,5,claude_tool
2026,7,5,codex
2026,7,5,copilot
2026,7,5,cursor_tool
2026,8,2,circleci
2026,8,2,travis_ci
2026,9,2,rails
2026,9,2,ruby
