comm_2026_id,comm_2026_size,share_new_arrivals,top_2024_comm_id,top_2024_comm_size,top_jaccard,top_contribution_share,n_2024_contribs_lt_30,classification,top_techs,name
0,25,0.04,0,22,0.5667,0.68,1,stable_partial,"agile,angular,bdd,cypress,express,graphql,java,javascript,jest,jquery,junit,microservices,mocha,nextjs,nodejs...",js_frontend_stack
1,24,0.0,1,21,0.6071,0.7083,1,stable_partial,"ansible,argocd,aws,azure,bash,chef,ci_cd,datadog,docker,elasticsearch,gcp,github_actions,gitlab_ci,grafana,helm...",devops_platform_stack
2,17,0.1765,3,16,0.65,0.7647,1,stable_partial,"ai_agent,anthropic,chroma,claude_api,fine_tuning,gemini,gpt_model,hugging_face,langchain,llamaindex,llm,mcp,pinecone,prompt_engineering,rag...",llm_vendor_stack
3,15,0.0,2,19,0.36,0.6,3,fragmented,"cassandra,django,dynamodb,event_driven,fastapi,flask,flink,kafka,laravel,mongodb,mysql,php,postgresql,redis,serverless",php_laravel_stack
4,13,0.0,2,19,0.3913,0.6923,0,fragmented,"airflow,beam,bigquery,c_sharp,databricks,dbt,dot_net,hadoop,scala,snowflake,spark,sql,sql_server",data_engineering_stack
5,9,0.1111,4,9,0.6364,0.7778,1,stable_partial,"jupyter,keras,mlflow,numpy,pandas,pytorch,scikit_learn,tensorflow,xgboost",python_ml_stack
6,7,0.0,6,7,0.75,0.8571,1,stable,"c_lang,c_plus_plus,go_lang,kotlin,objective_c,rust,swift",mobile_stack
7,5,0.4,3,16,0.1667,0.6,0,weakly_mapped,"chatgpt,claude_tool,codex,copilot,cursor_tool",llm_vendor_stack
8,2,1.0,0,22,0.0,0.0,0,new,"circleci,travis_ci",ci_cd_stack
9,2,0.0,8,5,0.4,1.0,0,fragmented,"rails,ruby",ruby_rails_stack
