seed,period,n_communities,modularity
11,2024,9,0.6324120718457868
11,2026,11,0.6612268007055877
23,2024,9,0.6324120718457868
23,2026,12,0.662442445223457
29,2024,9,0.6324120718457868
29,2026,11,0.6605024745418081
37,2024,8,0.6262687903739484
37,2026,11,0.6621104517260453
42,2024,9,0.6324120718457868
42,2026,10,0.6618156754589749
53,2024,9,0.6324120718457868
53,2026,11,0.661989417257728
61,2024,9,0.6321077842435252
61,2026,10,0.6616651567450881
71,2024,9,0.6321760711428112
71,2026,11,0.6615463813417252
83,2024,9,0.6324120718457868
83,2026,10,0.6617218124416808
97,2024,9,0.6324120718457868
97,2026,10,0.6618156754589749
