metric,n,pearson_r,pearson_p,pearson_lo,pearson_hi,spearman_r,spearman_p,panel
breadth_resid_delta,356,-0.02839743547747148,0.5933241828242295,-0.13195143526388087,0.07576970068453293,0.011108184681104756,0.8345589780956271,pooled_min5
ai_strict_delta,356,-0.02456157130312365,0.6441769511195958,-0.1281778159616879,0.07958509524822041,0.06725658892102279,0.20552536688271592,pooled_min5
mentor_on_S1_delta,338,-0.050584022260941205,0.35386191547793827,-0.15641872168471255,0.05639909346939083,0.054331339930117135,0.31929632917066963,pooled_min5
desc_len_median_delta,356,-0.001972638053374794,0.9704142039961131,-0.10589440974423305,0.10199175921484303,-0.02020529850912609,0.7039967583272393,pooled_min5
yoe_min_years_llm_delta,346,0.028688710113881355,0.5948512035606064,-0.07698086056693229,0.13372094084759395,0.029319136817051745,0.5867781656999294,pooled_min5
yoe_extracted_delta,345,0.02346859989990752,0.6640069216824359,-0.08232500850506318,0.1287391827618487,0.0015104110496511778,0.9776997655585018,pooled_min5
tech_count_delta,356,-0.029385205416149966,0.5805316034444142,-0.1329226908482056,0.07478670773716603,0.004688022177821287,0.9297631585883434,pooled_min5
scope_v1_delta,356,-0.05360727669106429,0.31315294947726113,-0.15667773302775792,0.050618259269987954,-0.019846372969104433,0.709014162917884,pooled_min5
credential_stack_depth_delta,356,0.004577291911842517,0.9314180168686711,-0.09941349159138418,0.1084691690711146,0.013917926033948064,0.7935588890467418,pooled_min5
mgmt_rebuilt_delta,356,-0.04902546697943075,0.3563657614230324,-0.15219339262269205,0.05519930653010059,0.07234722747257982,0.1731886052147467,pooled_min5
