metric,n,pearson_r,pearson_p,pearson_lo,pearson_hi,spearman_r,spearman_p,panel,robustness
breadth_resid_delta,243,-0.0322050205862414,0.6173795577588317,-0.1574137483578919,0.0940227531423372,0.011159288465876747,0.8626007137591032,arshkon_min3,full
ai_strict_delta,243,-0.08854640668591846,0.1688560887776258,-0.21203040312958937,0.03772063397144659,0.11087458466820001,0.08456829071266075,arshkon_min3,full
mentor_on_S1_delta,220,-0.07204603165689587,0.28736904766681576,-0.2023911154293506,0.060807281423452396,0.10466346795604373,0.12166550484629532,arshkon_min3,full
desc_len_median_delta,243,0.20285498076689493,0.0014777994771309202,0.0790256891872238,0.3205192716003143,0.16757172607474186,0.008864189769084724,arshkon_min3,full
yoe_min_years_llm_delta,228,-0.008425246642971685,0.8993191754660156,-0.1382020129836142,0.12163595805995116,0.032910968349960545,0.6210609277212131,arshkon_min3,full
yoe_extracted_delta,228,-0.10681919715331623,0.10768737903215424,-0.23350645807416598,0.023434092928833607,-0.14580882465412764,0.02771183257275544,arshkon_min3,full
tech_count_delta,243,0.03799842266534897,0.5555289293323549,-0.08827039357934326,0.16306535726817561,0.04253829704712079,0.5092627479943925,arshkon_min3,full
scope_v1_delta,243,-0.03329949598520906,0.6054671761383461,-0.15848206527372163,0.09293667672669995,-0.07399268973968631,0.2505311136232815,arshkon_min3,full
credential_stack_depth_delta,243,-0.07376212240558168,0.25201454164228054,-0.19777296061555827,0.05257260367503129,-0.0704610793041419,0.2739214732185078,arshkon_min3,full
mgmt_rebuilt_delta,243,-0.006604376573009282,0.9184214743325755,-0.13234109202362634,0.11934152212862535,0.16783069482196436,0.008758200746013675,arshkon_min3,full
breadth_resid_delta,238,-0.028892732174639675,0.6574176829148467,-0.15548558864791603,0.09863378916413017,0.013738070470196763,0.8330162243936792,arshkon_min3_no_giants,no_tech_giants
ai_strict_delta,238,-0.08677827170210196,0.18213179423901746,-0.2116072965963865,0.040836491432063735,0.11168843427725889,0.08554935636254106,arshkon_min3_no_giants,no_tech_giants
mentor_on_S1_delta,215,-0.07052718583275157,0.30329859782292484,-0.20242303098884593,0.0638817692065274,0.13121321076618134,0.05472398024885853,arshkon_min3_no_giants,no_tech_giants
desc_len_median_delta,238,0.21538730827367417,0.0008237667845874641,0.09070761913999986,0.33341923794556094,0.172676917962708,0.0075853378741394225,arshkon_min3_no_giants,no_tech_giants
yoe_min_years_llm_delta,223,-0.025326789693423092,0.7068094908970055,-0.15618644652403943,0.10640662385631768,0.015430810019102244,0.8187525039153872,arshkon_min3_no_giants,no_tech_giants
yoe_extracted_delta,223,-0.12124138704511583,0.07075965592710805,-0.2486599329816427,0.010302064892936879,-0.16166677084013822,0.0156683711991182,arshkon_min3_no_giants,no_tech_giants
tech_count_delta,238,0.044382170189708324,0.49560207836445036,-0.08325181713014561,0.1705835563475974,0.050258259500195156,0.4402610548483208,arshkon_min3_no_giants,no_tech_giants
scope_v1_delta,238,-0.027026765268334408,0.6782669033376455,-0.15366278068314065,0.10048270626797455,-0.07066716858281882,0.27755938475083525,arshkon_min3_no_giants,no_tech_giants
