period,uid,source,title,matched_sub,context_200c
2024,asaniczka_ad64b82d5ad1aa43,kaggle_asaniczka,Lead Software Engineer - Full Stack,leading,unity provide adventure push limits software technology fulfillment archive services deliver market-leading technology contributor conducting technology solutions multiple areas various functions objectives 
2024,arshkon_3903845710,kaggle_arshkon,Lead DevOps Engineer,management,platformscontainerization kubernetes codepractical articulation iac thorough practical implementing management practices ocp kubernetes dockerinnate application principlesenforces practices itsdesigns deploys a
2024,asaniczka_1bcc4a22f9c7a798,kaggle_asaniczka,Sr. Devops Engineer,stakeholders,must excellent written oral communication must maintaining highly relationships multiple stakeholders multiple ability obtain seeking maintain systems used deployment various software sdlc adhering pri
2024,asaniczka_1541b0953ca31605,kaggle_asaniczka,Nuclear Simulator Software Engineer/Sr Nuclear Simulator Software Engineer,coordinates,supervision coordinates performs software simulator provide simulator programs simulator acceptance.designs tests implement
2024,asaniczka_d5de03ae6f31fdb1,kaggle_asaniczka,"Lead Software Engineer, Full Stack (ReactJS, NodeJS, Python, AWS)",management,azure qualifications degree javascript java typescript sql gcp azure another open-source frameworks management practices salary
2024,asaniczka_b729d8744938fe66,kaggle_asaniczka,"DevOps Engineer / GCP and GKE REQUIRED / Raleigh, San Diego, or Austin",manage,ienced gcp passionate gcp possess expertise kubernetes gke want hear responsibilities iac implement manage like terraform deployment manager ensure environments kubernetes expertise demonstrate kubernetes g
2024,asaniczka_2315c64eca6177c2,kaggle_asaniczka,System Engineer(Senior),management,es assists conducting alternatives aoas course actions coas studies assessments assists operational management management operates integrating programs nga die demonstrated die nsg/asg oversees coordinates juni
2024,asaniczka_85f2137483cd6a72,kaggle_asaniczka,Lead Software Engineer – AI/ML Services,teams,solutions large models services application teams implement services meeting standards practices evaluation measures ensure services grounded large a
2024,asaniczka_7aae6411e409ed2b,kaggle_asaniczka,Senior Test Engineer,management,se splunk programs contracts similar scope type complexity required bachelor degree math statistics management related discipline accredited required additional substituted bachelor degree
2024,asaniczka_e0cf6fdd87aee102,kaggle_asaniczka,"Lead Software Engineer, Backend (Scala, Spark)",management,ations bachelor degree software year azure qualifications degree scala gcp azure another frameworks management practices please note sponsor applicant authorization position
