period,uid,source,title,matched_sub,context_200c
2024,asaniczka_9bec3225da9c810c,kaggle_asaniczka,"Distinguished Engineer, Generative AI Systems (Remote-Eligible)",fine-tuning,ire mlops lifecycle gpu clusters capabilities technology including prompt databases/knowledge bases fine-tuning published conferences recognized industry contributions distributed systems salary
2024,asaniczka_533795ba4fe0f4ab,kaggle_asaniczka,LLM Software Engineer/Researcher,fine-tuning,ers responsibilities role forefront cutting-edge implementation techniques maas solutions including fine-tuning evaluation inference capabilities ensure ability models increasingly increasing efficiency creation
2024,asaniczka_9acc401855dc69c0,kaggle_asaniczka,"（ALL LEVEL OPEN) Machine Learning Engineer, TikTok Recommendation",fine-tune,eeply focusing delivering well-grounded solutions understand industry-leading recommendation prompt fine-tune cutting-edge models models recommendation offerings billion-scale consumers cross-functional teams 
2024,asaniczka_1ecc2a9dc11dfc87,kaggle_asaniczka,Sr. Software Engineer - IoT,fine tune, unmet non-functional contribute technology roadmap technologies refurbishing tech practices assess fine tune ci/cd repo review bachelor degree relevant software ci/cd developing distributed on-prem systems az
2024,arshkon_3888034499,kaggle_arshkon,AI Software Engineer,fine-tuning,responsibilities fine-tuning llms artisans helping us human-like digital developing systems allow users interact features e.g on
2024,asaniczka_dad3de21c02728f6,kaggle_asaniczka,Senior Data Engineer,fine tuning,s implementing context sdlc practices sdlc framework sql azure familiarity systems e.g git hands-on fine tuning reverse etl required
2024,asaniczka_2e2d22154ee31fbf,kaggle_asaniczka,Senior Lead Engineer- Generative AI Engineering (Remote-Eligible),fine-tune,looking experienced help maintain apis sdks train fine-tune models systems enable users large-language models llms models fms world-class researchers implement
2024,arshkon_3905287203,kaggle_arshkon,Senior Machine Learning Engineer,fine-tuning,ce databases weaviate pineconeproficiency frameworks tensorflow pytorch keras huggingfaceexperience fine-tuning llms plusexperience kubernetesexperience serving technologies kserve vllm skypilot etc.experience e
2024,asaniczka_3b2d262064d582d9,kaggle_asaniczka,Machine Learning Engineer,fine-tune,ry toolboxes algorithm gpu-based optimization highly methodologies jax xla pytorch evaluation train fine-tune evaluate models appropriate frameworks sure systems deployment implement models operational systems
2024,asaniczka_85e53d4669a127e3,kaggle_asaniczka,Principal Software Engineer,fine tuning,liquibase messaging technologies jms kafka mq cicd git bitbucket jenkins plsql sql postgresql redis fine tuning
