uid,era,match_text,context
asaniczka_ff1683317a87fc4b,2024,must have, ai. they are actively seeking to grow their data engineering team in this project. requirements: · must have strong artificial intelligence experience. · must have worked with generative ai and implementing g
asaniczka_9c298421df542e1d,2024,must have, minimum of 3 years of systems engineering experience. ph.d with 0 years of engineering experience. must have an active dod secret clearance or higher clearance (with a background investigation completed withi
asaniczka_5eae8bda9049f36d,2024,is required,"nt is a key driver of our company culture and employee experience. a regular in-office hybrid model is required (generally in office tues/wed/thurs. and remote m & f). position summary located in naperville, rep"
asaniczka_ffef1befd387d151,2024,is required,"al documentation; strong collaboration skills and ability to lead team of engineers; us citizenship is required kpmg complies with all local/state regulations regarding displaying salary ranges. if required, the"
asaniczka_f806134482e1d3a6,2024,must have,l support teams to investigate and resolve critical customer defects qualifications your experience must have 4+ years of hands-on experience in building large enterprise applications primarily in java 4+ year
asaniczka_7fcc84e612f700b4,2024,at least 12,"canalyzer, hils etc.) basic requirements bachelor's degree in engineering or engineering technology at least 12 years of experience in product design/development or new technologies at least 2 years of experienc"
arshkon_3902832707,2024,required to,"sed components through contact with procurement and the suppliers. qualify tooling and equipment as required to assure capacity.- address any component or product quality issue assigned, determining root cause a"
arshkon_3891077621,2024,required experience,"eams as required• document development work, user guides, internal documentation, and release notes required experience and skills:• minimum of 8+ years of perl/python experience in systems/software development in a uni"
asaniczka_fd63ba5636a7e2c8,2024,is required,". our team enjoys the flexibility of a hybrid model and working from anywhere. in person attendance is required for two weeks during the year for truveta planning weeks. for overall team productivity, we optimiz"
arshkon_3904969664,2024,required skills,andards. optimize application performance through effective system design and performance tuning.   required skills and technologies:  cloud platforms: deep familiarity with aws (amazon web services) and similar clo
asaniczka_fe2444f76b777298,2024,is required,"cooperation across space acquisition, space and cyberspace operations, and commanders at all levels is required to apply a risk-based approach (both mission and system risk) to establish enterprise-wide situatio"
asaniczka_966d794d84c35d74,2024,must-have,e issues. knowledge of computer software systems end-to-end. expertise with react and python. top 3 must-have hard skills experience implementing frontends in functional react experience with python scripting 
asaniczka_44c0b7155b9daa1c,2024,is required," functional and/or design specifications and experience with validation support and data management is required · requires attention to detail, critical thinking, and a commitment to quality work · comprehensive"
asaniczka_6fd50b868173a42e,2024,required to,c by providing subject matter expertise of this unique portfolio of capabilities and the activities required to ultimate deliver these capabilities to warfighters. the successful candidate should be a leader and
asaniczka_ad781077cd7817ea,2024,required experience,"or's degree in computer science or a related field, or significant equivalent experience considered required experience, technical skills, certifications, & training: 5+ years of rapid web development, using html, javas"
linkedin_li-4386662293,2026,is required," for telecommuting up to 2 days per week, following a training period during which on-site presence is required.  **department summary**  the office of the vice president for student affairs and campus diversity"
linkedin_li-4388741928,2026,is required,"ions, with minimal mentoring.          **responsibilities \& requirements** * 5 years of experience is required * strong core java and backend development expertise, including multithreading * writes clean, modu"
linkedin_li-4383240420,2026,required for,"rating, protection coordination , ride through assessment. * process, generate and maintain data as required for other engineering related studies. * prepare technical study reports for all studies performed. * t"
linkedin_li-4403810431,2026,required by,"ications for projects and assist in the preparation of quotes and proposals; assist inside sales as required by providing quotes, customer contact and technical issues; engage in sales/technical presentations to"
linkedin_li-4393167123,2026,minimum requirements,"pad, while maintaining strong accessibility and ada compliance  ****what you bring to the role****  minimum requirements:          * experience \& ownership: 7\+ years of professional software engineering experience, wit"
linkedin_li-4393032893,2026,required qualifications," with hardware systems * document system design, development processes, and performance analysis  **required qualifications** * 8\+ years of experience in firmware or embedded software development using c/c\+\+ * 2\+ years "
linkedin_li-4400507415,2026,required qualifications,"lopers and other team members on best practices, new features, and enhancements on ibmi platform  **required qualifications**  5\+ years of experience and a demonstrated deep understanding of ibmi technology and application"
linkedin_li-4388579376,2026,required qualifications,"elop engineers, fostering a culture of technical excellence, ownership, and continuous learning.  **required qualifications** * 5\+ years of specialty software engineering experience, or equivalent demonstrated through one "
linkedin_li-4402196167,2026,must have,evelopment * frameworks \& libraries * database \& sql ------------------------------------------   must have technical skills:          * java development experience * strong proficiency in java (java 8\+) * 
linkedin_li-4403524584,2026,required by,"nframe environments. * experience supporting ai model fine‑tuning or system‑integration logic.   as required by local law, accenture federal services provides reasonable ranges of compensation for hired roles ba"
linkedin_li-4397601999,2026,required skills,an agile engineering team within a devops culture focused on continuous delivery and improvement  **required skills and attributes**   * strong background in quality driven embedded software engineering for automoti
linkedin_li-4362476122,2026,required qualifications,"ontrol, and systems teams to align mapping and localization outputs with broader autonomy goals.  **required qualifications** * master’s or phd in robotics, computer science, electrical engineering, or a related field. * st"
linkedin_li-4395116394,2026,is required,"escalations and larger initiatives      **what they’re looking for**   * **msp experience**   (this is required) * strong experience with  **microsoft 365 \+ intune** * experience with  **autopilot, entra id, an"
linkedin_li-4394367266,2026,minimum qualifications,"l mentorship to junior software engineers on the team.  **what are we looking for in this role?** **minimum qualifications** * bs in computer science, information technology, or a related field. * minimum of 8\+ years of p"
linkedin_li-4396314348,2026,required skills,"required skills \& experience     design, develop, and configure servicenow applications and modules (e.g., itsm, i"
